title,franchise_group,owner,current_platform,tmdb_id,tmdb_media_type,tmdb_popularity,tmdb_vote_count,tmdb_vote_average,tmdb_poster_path,tmdb_original_title,value_score_raw,value_score_norm
Game of Thrones,Game of Thrones,Warner Bros Discovery,Max,1399,tv,93.8238,25873,8.46,/1XS1oqL89opfnbLl8WnZY1O1uJx.jpg,Game of Thrones,115.15666357381284,0.014893770216292918
House of the Dragon,Game of Thrones,Warner Bros Discovery,Max,94997,tv,29.9175,5595,8.307,/oxmdHR5Ka28HAJuMmS2hk5K6QQY.jpg,House of the Dragon,50.27937770581979,0.006502875951148804
Harry Potter and the Philosopher's Stone,Harry Potter,Warner Bros Discovery,Max,671,movie,25.4119,28860,7.899,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,Harry Potter and the Philosopher's Stone,45.670211374815615,0.005906750098834158
Harry Potter and the Chamber of Secrets,Harry Potter,Warner Bros Discovery,Max,672,movie,20.0707,23025,7.704,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,Harry Potter and the Chamber of Secrets,39.84091850032605,0.005152819358730078
The Dark Knight,DC,Warner Bros Discovery,Max,155,movie,25.0893,34791,8.524,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,The Dark Knight,46.678779394657276,0.006037193095955162
The Batman,DC,Warner Bros Discovery,Max,414906,movie,12.4972,11407,7.659,/74xTEgt7R36Fpooo50r9T25onhq.jpg,The Batman,31.872409512507787,0.004122213415940166
Friends,Friends,Warner Bros Discovery,Max,1668,tv,64.6416,8707,8.424,/f496cm9enuEsZkSPzCwnTESEK5s.jpg,Friends,85.42951842036905,0.011049014252014872
The Big Bang Theory,The Big Bang Theory,Warner Bros Discovery,Max,1418,tv,26.5673,12074,7.913,/ooBGRQBdbGzBxAVfExiO8r7kloA.jpg,The Big Bang Theory,46.47518713942355,0.006010861521444717
Dune,Dune,Warner Bros Discovery,Max,438631,movie,20.1377,14171,7.777,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,Dune,39.84313114366114,0.005153105530631736
Dune: Part Two,Dune,Warner Bros Discovery,Max,693134,movie,15.8729,7250,8.133,/1pdfLvkbY9ohJlCjQH2CZjjYVvJ.jpg,Dune: Part Two,35.999297905127314,0.004655963921733208
The Conjuring,The Conjuring Universe,Warner Bros Discovery,Max,138843,movie,11.5077,12361,7.541,/wVYREutTvI2tmxr6ujrHT704wGF.jpg,The Conjuring,30.681788739255808,0.003968224652622154
The Dark Knight,The Dark Knight Trilogy / Batman,Warner Bros Discovery,Max,155,movie,25.0893,34791,8.524,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,The Dark Knight,46.678779394657276,0.006037193095955162
